@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Nitrate-N,Nitrate as N,0117,"",7.33,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",95.3,"",%,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.00586,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Cond @ 25C,Conductivity at 25 C,0077,"",651,"",us/cm,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",210,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",7.4,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,BOD ATU,BOD : 5 Day ATU,0085,"",1.4,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Temp Water,Temperature of Water,0076,"",11.4,"",cel,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.29,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,pH,pH,0061,"",8.08,"",phunits,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.017,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",10.4,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1722503-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49600453,NE-49600453,OXFOLDS BECK AT STONE BRIDGE,2023-05-16T11:59:00,Nitrite-N,Nitrite as N,0118,"",0.072,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),477529,483735
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",220,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",7.4,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.032,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,pH,pH,0061,"",7.79,"",phunits,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Cond @ 25C,Conductivity at 25 C,0077,"",1007,"",us/cm,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.097,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.00042,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Temp Water,Temperature of Water,0076,"",12,"",cel,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",100.6,"",%,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",10.8,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Nitrate-N,Nitrate as N,0117,"",7.34,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1720828-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100528,NE-49100528,SELBY DAM AT SELBY,2023-04-20T12:34:00,Nitrite-N,Nitrite as N,0118,"",0.061,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),461370,432539
http://environment.data.gov.uk/water-quality/data/measurement/NE-1721418-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100068,NE-49100068,BISHOP DIKE AT TILE BRIDGE - CAWOOD,2023-04-27T14:49:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.074,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),456684,436850
http://environment.data.gov.uk/water-quality/data/measurement/NE-1721418-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100068,NE-49100068,BISHOP DIKE AT TILE BRIDGE - CAWOOD,2023-04-27T14:49:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",290,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),456684,436850
http://environment.data.gov.uk/water-quality/data/measurement/NE-1721418-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100068,NE-49100068,BISHOP DIKE AT TILE BRIDGE - CAWOOD,2023-04-27T14:49:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",7.6,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),456684,436850
http://environment.data.gov.uk/water-quality/data/measurement/NE-1721418-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100068,NE-49100068,BISHOP DIKE AT TILE BRIDGE - CAWOOD,2023-04-27T14:49:00,NH3 un-ion,Ammonia un-ionised as N,0119,<,0.00063,"",mg/l,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),456684,436850
http://environment.data.gov.uk/water-quality/data/measurement/NE-1721418-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49100068,NE-49100068,BISHOP DIKE AT TILE BRIDGE - CAWOOD,2023-04-27T14:49:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",153.3,"",%,RIVER / RUNNING SURFACE WATER,false,MONITORING  (NATIONAL AGENCY POLICY),456684,436850
