"label","notation"
"RIVER / RUNNING SURFACE WATER","2AZZ"
"FINAL SEWAGE EFFLUENT","4AZZ"
"ESTUARINE WATER","2HZZ"
"ANY TRADE EFFLUENT","5ZZZ"
"CRUDE SEWAGE","4BZZ"
"CANAL WATER","2FZZ"
"POND / LAKE / RESERVOIR WATER","2GZZ"
"GROUNDWATER - PURGED/PUMPED/REFILLED","2EBZ"
"ANY LEACHATE","6ZZZ"
"BOREHOLE GAS","1AZZ"
"SURFACE DRAINAGE","2CZZ"
"MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL","9CC1"
"GROUNDWATER - STATIC/UNPURGED","2EAZ"
"ANY  ALGAE / SEAWEED - WHOLE PLANT","9DZ2"
"GROUNDWATER","2EZZ"
"SEA WATER","2IZZ"
"UNCODED","ZZZZ"
"ESTUARY SEDIMENT - INTER TIDAL - <63UM FRACTION","8EB1"
"ANY SEWAGE","4ZZZ"
"ESTUARINE WATER AT LOW TIDE","2HBZ"
"ANY SOLID/SEDIMENT - UNSPECIFIED","8ZZZ"
"ANY FISH - NOT INCLUDING FLATFISH - WHOLE ANIMAL","9AZ1"
"STORM SEWER OVERFLOW DISCHARGE","4CZZ"
"MINEWATER","2MZZ"
"RUNNING SURFACE WATER SEDIMENT","8AZZ"
"ANY WATER","2ZZZ"
"ESTUARY SEDIMENT - INTER TIDAL","8EBZ"
"TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED","5AAZ"
"TRADE EFFLUENT - SALINE WATER RETURNED ABSTRACTED","5ABZ"
"ANY NON-AQUEOUS LIQUID","3ZZZ"
"WHITEBAIT / JUVENILES - GILL","9AF6"
"ESTUARY SEDIMENT - SUB TIDAL","8EAZ"
"MYTILUS EDULIS - MUSSEL - MUSCLE","9CC3"
"SEA WATER - INTERTIDAL","2ICZ"
"PLATICTHYS FLESUS - FLOUNDER - LIVER OR DIGESTIVE GLAND","9BC4"
"PLATICTHYS FLESUS - FLOUNDER - MUSCLE","9BC3"
"PLATICTHYS FLESUS - FLOUNDER - WHOLE ANIMAL","9BC1"
"POND / LAKE / RESERVOIR WATER SEDIMENT","8DZZ"
"MINEWATER (FLOWING/PUMPED)","2MBZ"
"RUNNING SURFACE WATER SEDIMENT - <63UM FRACTION","8AZ1"
"ANGUILLA ANGUILLA - EEL - WHOLE ANIMAL","9AG1"
"ESTUARY SEDIMENT","8EZZ"
"ANY TIPPED SOLIDS","8BZZ"
"ANY GAS","1ZZZ"
"COASTAL / MARINE SEDIMENT","8FZZ"
"ANY SHELLFISH (MOLLUSC & CRUSTACEAN) - WHOLE ANIMAL","9CZ1"
"FUCUS VESICULOSUS - BLADDER WRACK - TISSUE - SEE COMMENTS","9DG9"
