"determinand_id","determinand_desc","definition","unit_of_measure","unit_of_measure_desc"
172,"Chloride Ion","Chloride","mg/l","MILLIGRAM PER LITRE"
158,"Hardness","Hardness, Total as CaCO3","mg/l","MILLIGRAM PER LITRE"
116,"N Oxidised","Nitrogen, Total Oxidised as N","mg/l","MILLIGRAM PER LITRE"
76,"Temp Water","Temperature of Water","cel","CELSIUS"
742,"HydrocrbnsPA","PAH : Total :- {Polynuclear Aromatic Hydrocarbons}","ug/l","MICROGRAM PER LITRE"
9901,"O Diss %sat","Oxygen, Dissolved, % Saturation","%","PERCENTAGE"
6051,"Iron - as Fe","Iron","ug/l","MICROGRAM PER LITRE"
733,"B-[k]-fluora","Benzo(k)Fluoranthene","ug/l","MICROGRAM PER LITRE"
3683,"N Inorganic","Nitrogen, Total Inorganic : (Calculated)","mg/l","MILLIGRAM PER LITRE"
555,"DDT (PP)","DDT -pp","ug/l","MICROGRAM PER LITRE"
7213,"Tot DDTs (4)","DDT : Total Isomers (DDT op pp, DDE pp, TDE pp)","ug/l","MICROGRAM PER LITRE"
7726,"2,3,6-TBA","2,3,6-TBA :- {2,3,6-Trichlorobenzoic acid}","ug/l","MICROGRAM PER LITRE"
6455,"Zinc - as Zn","Zinc","ug/l","MICROGRAM PER LITRE"
9933,"ColformsPre","Coliforms, Total : Presumptive : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
85,"BOD ATU","BOD : 5 Day ATU","mg/l","MILLIGRAM PER LITRE"
543,"Parathion","Parathion-ethyl :- {Parathion}","ug/l","MICROGRAM PER LITRE"
7904,"Na RATIO","Sodium adsorption ratio","unitless","UNITLESS VALUE"
81,"O Diss% Satn","Oxygen, Dissolved, % Saturation : (Laboratory)","%","PERCENTAGE"
9863,"AzinphsEthyl","Azinphos-ethyl","ug/l","MICROGRAM PER LITRE"
61,"pH","pH","phunits","PH UNITS"
507,"Dichlorvos","Dichlorvos","ug/l","MICROGRAM PER LITRE"
50,"Lead - as Pb","Lead","ug/l","MICROGRAM PER LITRE"
499,"HCH Gamma","HCH -gamma :- {Lindane}","ug/l","MICROGRAM PER LITRE"
68,"Turbidity","Turbidity","ftu","FORMAZIN TURBIDITY UNIT"
191,"OrthophsFilt","Orthophosphate, Dissolved","mg/l","MILLIGRAM PER LITRE"
1085,"Pentachlrphl","Pentachlorophenol","ug/l","MICROGRAM PER LITRE"
8647,"Lead - wet w","Lead : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
539,"DDT (OP')","DDT -op","ug/l","MICROGRAM PER LITRE"
9819,"2,4,6-T","2,4,6-Trichlorophenol","ug/l","MICROGRAM PER LITRE"
111,"Ammonia(N)","Ammoniacal Nitrogen as N","mg/l","MILLIGRAM PER LITRE"
7531,"1122TetClEth","1,1,2,2-Tetrachloroethane","ug/l","MICROGRAM PER LITRE"
8347,"WEATHER FLAG","Weather : Unusual Condition Flag : Scale 0-5","coded","Coded Result"
9619,"1,3-DCB","1,3-Dichlorobenzene","ug/l","MICROGRAM PER LITRE"
180,"Orthophospht","Orthophosphate, reactive as P","mg/l","MILLIGRAM PER LITRE"
3164,"Chromium -Cr","Chromium","ug/l","MICROGRAM PER LITRE"
135,"Sld Sus@105C","Solids, Suspended at 105 C","mg/l","MILLIGRAM PER LITRE"
117,"Nitrate-N","Nitrate as N","mg/l","MILLIGRAM PER LITRE"
7173,"APR 430/410","Algal pigment ratio 430/410","unitless","UNITLESS VALUE"
6045,"As-Filtered","Arsenic, Dissolved","ug/l","MICROGRAM PER LITRE"
77,"Cond @ 25C","Conductivity at 25 C","us/cm","MICROSIEMENS PER CENTIMETRE"
551,"DDE (PP')","DDE -pp","ug/l","MICROGRAM PER LITRE"
119,"NH3 un-ion","Ammonia un-ionised as N","mg/l","MILLIGRAM PER LITRE"
3551,"Dichlorprop","Dichlorprop :- {2,4-DP}","ug/l","MICROGRAM PER LITRE"
5560,"p-Cresol","4-Methylphenol :- {p-Cresol}","ug/l","MICROGRAM PER LITRE"
576,"Hexachlorbnz","Hexachlorobenzene","ug/l","MICROGRAM PER LITRE"
9771,"PCB Con 118","PCB - 118","ug/l","MICROGRAM PER LITRE"
664,"Oil & Grs Vs","Visible oil or grease, significant trace: Present/Not found (1/0)","pres/nf","PRESENT/NOT FOUND"
495,"HCH Delta","HCH -delta","ug/l","MICROGRAM PER LITRE"
105,"Mercury - Hg","Mercury","ug/l","MICROGRAM PER LITRE"
108,"Cadmium - Cd","Cadmium","ug/l","MICROGRAM PER LITRE"
6452,"Copper - Cu","Copper","ug/l","MICROGRAM PER LITRE"
3272,"12-DCA","1,2-Dichloroethane","ug/l","MICROGRAM PER LITRE"
82,"O Dissolved","Oxygen, Dissolved : (Laboratory) as O2","mg/l","MILLIGRAM PER LITRE"
3299,"DiClMe","Dichloromethane :- {Methylene Dichloride}","ug/l","MICROGRAM PER LITRE"
4049,"14Dichlrbnzn","1,4-Dichlorobenzene","ug/l","MICROGRAM PER LITRE"
3373,"Chloroform","Chloroform :- {Trichloromethane}","ug/l","MICROGRAM PER LITRE"
348,"Phosphorus-P","Phosphorus, Total as P","mg/l","MILLIGRAM PER LITRE"
6648,"HEXACHLORO 1","Hexachlorobutadiene","ug/l","MICROGRAM PER LITRE"
511,"Dieldrin","Dieldrin","ug/l","MICROGRAM PER LITRE"
3268,"1,1,1-TCA","1,1,1-Trichloroethane","ug/l","MICROGRAM PER LITRE"
7013,"ECSW 1/2LOD","Pesticides : Total (Gamma-HCH, Dieldrin, Parathion) : SWAD","ug/l","MICROGRAM PER LITRE"
183,"Sulphate SO4","Sulphate as SO4","mg/l","MILLIGRAM PER LITRE"
52,"Pb Filtered","Lead, Dissolved","ug/l","MICROGRAM PER LITRE"
9686,"Nitrogen - N","Nitrogen, Total as N","mg/l","MILLIGRAM PER LITRE"
9990,"Tecnazene","Tecnazene","ug/l","MICROGRAM PER LITRE"
